WL,STATE,C/G,G/N,P/G
AGUACLARA,original,0.0,1.068,0.0398
AGUAL02,original,0.0,0.8207,0.6335
ARCHT,original,0.0001,1.1932,0.4353
ASUS,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
BALREP,original,0.0,1.0621,0.0297
BASE,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
BB,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT01,original,0.0,0.7846,0.193
CAT02,original,0.0,0.8006,0.4708
CHANK,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHE,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHP,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CI,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON01,original,0.0,0.8397,0.5696
CTRON02,original,0.0,0.8368,0.4346
GP,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSJP,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSM,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
JIM,original,0.0,0.9308,0.8197
LGG,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLITA,original,0.0,1.2539,0.2611
LLMAS,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
LNG,original,0.0,0.8123,0.0
MAC01,original,0.0,0.8881,0.5302
MAL01,original,0.0,0.8888,0.5141
MAL02,original,0.0,0.8155,0.4336
MASC,original,0.0619,1.175,0.1444
MP,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
NAR,original,0.0,0.7744,0.9678
NLS,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
ORE02,original,0.0,0.8092,0.5221
OROSA,original,0.0,0.8788,0.3957
PALESM,original,0.0944,1.0417,0.1222
PATATE,original,0.0,0.8293,0.4071
PAVRVT,original,0.0,0.7513,0.4867
POSTE,original,0.0,1.2589,0.27
QLR,original,0.0,0.8558,0.5345
SAP,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
SEXTA,original,0.0,0.8748,0.0446
SJMS,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
SUC,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
TC,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
TENA,original,0.2435,1.0033,0.0
TOQCOT,original,0.0,0.7644,0.4199
TOSA,original,0.0,1.1492,0.2887
Tosm,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
ZAP,original,0.0,0.4741,0.5658
